idx,pred,true
0,3103.0703125,[3075.68408203125]
1,3128.467529296875,[3123.985107421875]
2,3124.74853515625,[3058.545166015625]
3,3107.081298828125,[3044.522216796875]
4,3080.197998046875,[3007.128173828125]
5,3035.252197265625,[2946.362060546875]
6,2997.593017578125,[2915.199951171875]
7,2959.697998046875,[2915.199951171875]
8,2961.218017578125,[2905.85107421875]
9,2942.721923828125,[2885.59619140625]
10,2919.88916015625,[2941.688232421875]
11,2953.253662109375,[2919.8740234375]
12,2933.34423828125,[2961.943115234375]
13,2971.88427734375,[2952.593994140625]
14,2973.1982421875,[2860.667236328125]
15,2930.369384765625,[2848.2021484375]
16,2884.16259765625,[2788.994140625]
17,2859.0322265625,[2804.5751953125]
18,2831.473876953125,[2845.086181640625]
19,2873.29443359375,[2810.80810546875]
