idx,pred,true
0,3097.00537109375,[3075.68408203125]
1,3135.97607421875,[3123.985107421875]
2,3125.306640625,[3058.545166015625]
3,3098.37451171875,[3044.522216796875]
4,3070.45263671875,[3007.128173828125]
5,3029.833251953125,[2946.362060546875]
6,2992.564453125,[2915.199951171875]
7,2953.561279296875,[2915.199951171875]
8,2955.800537109375,[2905.85107421875]
9,2937.02001953125,[2885.59619140625]
10,2918.964599609375,[2941.688232421875]
11,2952.86865234375,[2919.8740234375]
12,2930.897216796875,[2961.943115234375]
13,2968.538330078125,[2952.593994140625]
14,2969.09912109375,[2860.667236328125]
15,2930.5166015625,[2848.2021484375]
16,2883.238037109375,[2788.994140625]
17,2859.443359375,[2804.5751953125]
18,2828.99169921875,[2845.086181640625]
19,2870.640869140625,[2810.80810546875]
