,confirm,suspect,heal,dead,severe,storeConfirm,input
2020-01-13,0,0,0,0,,0,0
2020-01-14,0,0,0,0,,0,0
2020-01-15,0,0,0,0,,0,0
2020-01-16,0,0,0,0,,0,0
2020-01-17,0,0,0,0,,0,0
2020-01-18,0,0,0,0,,0,0
2020-01-19,0,0,0,0,,0,0
2020-01-20,77,27,0,0,,0,0
2020-01-21,149,53,0,0,,0,0
2020-01-22,131,257,0,0,,0,0
2020-01-23,259,680,0,0,,0,0
2020-01-24,444,1118,0,0,,0,0
2020-01-25,688,1309,0,0,,0,0
2020-01-26,769,3806,0,0,,0,0
2020-01-27,1771,2077,0,0,,0,0
2020-01-28,1459,3248,0,0,,0,0
2020-01-29,1737,4148,0,0,,0,0
2020-01-30,1982,4812,0,0,,0,0
2020-01-31,2102,5019,0,0,,0,0
2020-02-01,2590,4562,0,0,,0,0
2020-02-02,2829,5173,0,0,,0,0
2020-02-03,3235,5072,0,0,,0,0
2020-02-04,3893,3971,0,0,,0,0
2020-02-05,3697,5328,0,0,,0,0
2020-02-06,3143,4833,0,0,,0,0
2020-02-07,3401,4214,0,0,,0,0
2020-02-08,2656,3916,0,0,,0,0
2020-02-09,3062,4008,0,0,,0,0
2020-02-10,2484,3536,0,0,,0,0
2020-02-11,2022,3342,0,0,,0,0
2020-02-12,15153,2807,0,0,,0,0
2020-02-13,5093,2450,0,0,,0,0
2020-02-14,2644,2277,0,0,,0,0
2020-02-15,2009,1918,0,0,,0,0
2020-02-16,2051,1563,0,0,,0,0
2020-02-17,1891,1432,0,0,,0,0
2020-02-18,1751,1185,0,0,,0,0
2020-02-19,820,1277,0,0,,0,0
2020-02-20,892,1614,0,0,,0,0
2020-02-21,399,1361,0,0,,0,0
2020-02-22,649,882,0,0,,0,0
2020-02-23,416,620,0,0,,0,0
2020-02-24,517,530,0,0,,0,0
2020-02-25,411,439,0,0,,0,0
2020-02-26,440,508,0,0,,0,0
2020-02-27,329,452,0,0,,0,0
2020-02-28,430,248,0,0,,0,0
2020-02-29,579,132,0,0,,0,0
2020-03-01,206,141,0,0,,0,0
2020-03-02,128,129,0,0,,0,0
2020-03-03,120,143,0,0,,0,0
2020-03-04,143,143,0,0,,0,2
2020-03-05,145,102,0,0,,0,16
2020-03-06,103,99,0,0,,0,24
2020-03-07,46,84,0,0,,0,3
2020-03-08,45,60,0,0,,0,4
2020-03-09,20,36,0,0,,0,2
2020-03-10,31,31,0,0,,0,10
2020-03-11,25,33,0,0,,0,6
2020-03-12,11,33,0,0,,0,3
2020-03-13,18,17,0,0,,0,7
2020-03-14,27,39,0,0,,0,16
2020-03-15,29,41,0,0,,0,12
2020-03-16,39,45,0,0,,0,20
2020-03-17,35,21,0,0,,0,12
2020-03-18,84,23,0,0,,0,34
2020-03-19,65,31,0,0,,0,39
2020-03-20,116,36,0,0,,0,41
2020-03-21,82,45,0,0,,0,45
2020-03-22,102,47,0,0,,0,39
2020-03-23,147,35,0,0,,0,74
2020-03-24,99,33,0,0,,0,47
2020-03-25,114,58,0,0,,0,67
2020-03-26,118,49,0,0,,0,54
2020-03-27,135,29,0,0,,0,54
2020-03-28,128,28,0,0,,0,44
2020-03-29,106,17,0,0,,0,30
2020-03-30,98,44,0,0,,0,48
2020-03-31,86,26,0,0,,0,35
2020-04-01,93,20,0,0,,0,35
2020-04-02,78,12,0,0,,0,29
2020-04-03,73,11,0,0,,0,18
2020-04-04,55,11,0,0,,0,25
2020-04-05,75,10,0,0,,0,38
2020-04-06,66,12,0,0,,0,32
2020-04-07,86,12,0,0,,0,59
2020-04-08,92,17,0,0,,0,61
2020-04-09,56,3,0,0,,0,38
2020-04-10,64,8,0,0,,0,42
2020-04-11,113,49,0,0,,0,97
2020-04-12,115,6,0,0,,0,98
2020-04-13,99,3,0,0,,0,86
2020-04-14,49,11,0,0,,0,36
2020-04-15,52,4,0,0,,0,34
2020-04-16,27,3,0,0,,0,15
2020-04-17,31,5,0,0,,0,17
2020-04-18,21,2,0,0,,0,9
2020-04-19,36,2,0,0,,0,8
2020-04-20,13,3,0,0,,0,4
2020-04-21,37,3,0,0,,0,23
2020-04-22,15,0,0,0,,0,6
2020-04-23,9,2,0,0,,0,2
2020-04-24,13,3,0,0,,0,11
2020-04-25,14,0,0,0,,0,5
2020-04-26,3,5,0,0,,0,2
2020-04-27,6,1,0,0,,0,3
2020-04-28,22,2,0,0,,0,21
2020-04-29,4,3,0,0,,0,4
2020-04-30,12,3,0,0,,0,6
2020-05-01,3,2,0,0,,0,1
2020-05-02,5,0,0,0,,0,1
2020-05-03,7,1,0,0,,0,3
2020-05-04,4,0,0,0,,0,1
2020-05-05,2,3,0,0,,0,2
2020-05-06,3,2,0,0,,0,2
2020-05-07,6,3,0,0,,0,0
2020-05-08,1,2,0,0,,0,1
2020-05-09,14,1,0,0,,0,2
2020-05-10,20,0,0,0,,0,7
2020-05-11,1,1,0,0,,0,1
2020-05-12,7,1,0,0,,0,1
2020-05-13,6,0,0,0,,0,0
2020-05-14,5,1,0,0,,0,0
2020-05-15,9,2,0,0,,0,6
2020-05-16,5,2,0,0,,0,2
2020-05-17,10,1,0,0,,0,4
2020-05-18,6,1,0,0,,0,3
2020-05-19,5,3,0,0,,0,1
2020-05-20,2,1,0,0,,0,1
2020-05-21,13,1,0,0,,0,2
2020-05-22,2,2,0,0,,0,0
2020-05-23,3,3,0,0,,0,2
2020-05-24,11,0,0,0,,0,11
2020-05-25,7,0,0,0,,0,7
2020-05-26,1,1,0,0,,0,1
2020-05-27,3,0,0,0,,0,2
2020-05-28,0,0,0,0,,0,0
2020-05-29,18,1,0,0,,0,4
2020-05-30,5,0,0,0,,0,2
2020-05-31,18,0,0,0,,0,16
2020-06-01,9,0,0,0,,0,5
2020-06-02,7,1,0,0,,0,1
2020-06-03,1,0,0,0,,0,1
2020-06-04,11,0,0,0,,0,5
2020-06-05,6,1,0,0,,0,3
2020-06-06,9,2,0,0,,0,5
2020-06-07,5,1,0,0,,0,4
2020-06-08,4,0,0,0,,0,3
2020-06-09,3,0,0,0,,0,3
2020-06-10,11,0,0,0,,0,11
2020-06-11,7,0,0,0,,0,6
2020-06-12,11,0,0,0,,0,5
2020-06-13,58,1,0,0,,0,19
2020-06-14,49,1,0,0,,0,10
2020-06-15,45,3,0,0,,0,8
2020-06-16,44,3,0,0,,0,11
2020-06-17,36,3,0,0,,0,4
2020-06-18,37,2,0,0,,0,4
2020-06-19,30,4,0,0,,0,4
2020-06-20,27,3,0,0,,0,1
2020-06-21,21,2,0,0,,0,7
2020-06-22,52,2,0,0,,0,9
2020-06-23,28,4,0,0,,0,3
2020-06-24,21,0,0,0,,0,5
2020-06-25,29,3,0,0,,0,2
2020-06-26,24,1,0,0,,0,4
2020-06-27,18,1,0,0,,0,3
2020-06-28,14,4,0,0,,0,5
2020-06-29,23,1,0,0,,0,11
2020-06-30,5,2,0,0,,0,0
2020-07-01,31,0,0,0,,0,2
2020-07-02,15,1,0,0,,0,3
2020-07-03,9,2,0,0,,0,2
